"","gene","AHQF1i_LD_11ReadsPerGene.out.tab","AHQF1i_LD_21ReadsPerGene.out.tab","AHQF1i_LD_6ReadsPerGene.out.tab","AHQF1i_SD_10ReadsPerGene.out.tab","AHQF1i_SD_19ReadsPerGene.out.tab","AHQF1x_LD_28ReadsPerGene.out.tab","AHQF1x_LD_30ReadsPerGene.out.tab","AHQF1x_LD_31ReadsPerGene.out.tab","AHQF1X_SD_29ReadsPerGene.out.tab","AHQF1x_SD_32ReadsPerGene.out.tab","AHQF1x_SD_33ReadsPerGene.out.tab","AHQN_LD_16ReadsPerGene.out.tab","AHQN_LD_20ReadsPerGene.out.tab","AHQN_LD_24ReadsPerGene.out.tab","AHQN_LD_5ReadsPerGene.out.tab","AHQT_LD_17ReadsPerGene.out.tab","AHQT_LD_22ReadsPerGene.out.tab","AHQT_LD_7ReadsPerGene.out.tab","AHQT_LD_8ReadsPerGene.out.tab","AHQT_SD_18ReadsPerGene.out.tab","AHQT_SD_23ReadsPerGene.out.tab","AHQT_SD_25ReadsPerGene.out.tab"
"25075","Migut.N01292.v2.0",0,4,0,0,3,7,0,0,22,1,21,2,3,1,4,4,2,2,3,3,0,6
"25076","Migut.N01293.v2.0",4,2,0,0,5,0,1,1,16,1,37,0,1,0,0,1,2,0,0,0,0,2
"25077","Migut.N01294.v2.0",121,199,21,98,156,118,95,195,967,35,1220,94,249,109,80,173,122,50,53,139,12,216
"25078","Migut.N01295.v2.0",7,5,0,0,4,1,1,4,22,2,31,5,2,1,0,8,1,3,0,0,0,2
"25079","Migut.N01296.v2.0",426,468,67,215,447,233,178,385,2821,99,3403,189,692,207,291,218,259,132,141,489,30,567
"25080","Migut.N01297.v2.0",49,77,8,41,42,25,41,48,258,12,398,37,71,37,49,53,37,30,27,43,3,85
"25081","Migut.N01298.v2.0",43,29,3,19,21,16,11,26,217,0,317,32,54,21,31,21,21,11,12,42,2,55
"25082","Migut.N01299.v2.0",9689,7532,1746,2563,4073,6324,6727,13754,34513,1465,48470,6074,12371,5395,8479,7857,3484,4849,2838,8426,369,3708
"25083","Migut.N01300.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25084","Migut.N01301.v2.0",768,712,94,184,642,396,207,506,3346,165,5267,241,843,220,318,553,383,192,234,747,46,579
